Year,Month,Fleet,Index,CV,Label
2012,7,2,0.871164005,0.102958156,NCRMP
2015,7,2,1.093648911,0.169672933,NCRMP
2017,7,2,1.315607023,0.182166218,NCRMP
2019,7,2,0.610952231,0.06370068,NCRMP
2021,7,2,0.870111534,0.151605999,NCRMP
