"","year","month","fleet","sex","nsamps","q0.1","q0.25","q0.5","q0.75","q0.9"
"1",2012,7,2,1,262,4.38090300051555,10.4362294011166,19.4400116683736,26.3418666501477,30.2669057270416
"2",2015,7,2,1,239,1.57047111775131,3.55540083941922,9.52739898715216,17.321478249166,24.6233813696061
"3",2017,7,2,1,181,4.51763121368236,9.97642247686958,17.179338492513,24.3919879382669,30.4456205596156
"4",2019,7,2,1,314,2.14593457533281,6.08306435600775,16.0275099908978,25.5546104787486,31.0370436501853
"5",2021,7,2,1,148,4.80763085960171,10.2877117551398,18.2395451081656,25.0392094567829,30.2238034398535
